iter	Logloss
0	0.5705562328
1	0.4909781433
2	0.4336516671
3	0.3866919903
4	0.3452842535
5	0.3158642644
6	0.2934923855
7	0.2790680678
8	0.2691294862
9	0.260730783
10	0.2550176275
11	0.2483672831
12	0.2433749451
13	0.2389751965
14	0.2369435403
15	0.2337395153
16	0.2310624841
17	0.2293864258
18	0.2282695154
19	0.2269986516
20	0.2258459229
21	0.2241685942
22	0.2227624556
23	0.2215362522
24	0.2203726621
25	0.2193826758
26	0.2187578965
27	0.217888082
28	0.2174190392
29	0.2169150704
30	0.2163955226
31	0.2157601035
32	0.2153379571
33	0.2143988654
34	0.2134471014
35	0.2127738982
36	0.2122630842
37	0.2118294794
38	0.2111911812
39	0.2109251036
40	0.2103192772
41	0.2100395784
42	0.209718781
43	0.2094730513
44	0.2087954137
45	0.2084062596
46	0.2080164582
47	0.207613908
48	0.207023263
49	0.2068266257
50	0.2062937353
51	0.2060902062
52	0.2058335985
53	0.2056460469
54	0.2054017317
55	0.2050368759
56	0.2046352505
57	0.2044413774
58	0.2041797878
59	0.203770181
60	0.2035469282
61	0.2032341911
62	0.2028200178
63	0.2024556685
64	0.2018425593
65	0.2013896609
66	0.2010072963
67	0.2007950514
68	0.2006145938
69	0.200448187
70	0.2002130708
71	0.200100561
72	0.1998767645
73	0.1995374091
74	0.1993235937
75	0.1988183979
76	0.1985730141
77	0.1984382289
78	0.198223257
79	0.1980294146
80	0.1977453786
81	0.1975640639
82	0.1974021212
83	0.1971444042
84	0.1969286103
85	0.1966148061
86	0.1964251695
87	0.1962317035
88	0.1960706427
89	0.1958285755
90	0.1956720506
91	0.1953894264
92	0.1952126419
93	0.1950835554
94	0.194908967
95	0.1947326164
96	0.1945876641
97	0.1944380194
98	0.1942344922
99	0.1940838023
100	0.1939331348
101	0.1937542611
102	0.1935358879
103	0.1932988591
104	0.1930511629
105	0.1926876116
106	0.1925065908
107	0.1923095577
108	0.1921613102
109	0.1919162836
110	0.1916275421
111	0.1914059699
112	0.1912593011
113	0.1909819776
114	0.1908139725
115	0.1906426786
116	0.1905080608
117	0.1903971515
118	0.1902641619
119	0.1900184151
120	0.1898510611
121	0.1896942205
122	0.1895308152
123	0.1891913403
124	0.188997612
125	0.18884736
126	0.1887069548
127	0.1884329072
128	0.1882991569
129	0.1879762076
130	0.1878561588
131	0.1877135083
132	0.1875014737
133	0.1874012232
134	0.1871761228
135	0.1869713299
136	0.1866634336
137	0.186463749
138	0.1861203323
139	0.1859650583
140	0.1858443977
141	0.1856753653
142	0.1854664577
143	0.1853099706
144	0.1851896459
145	0.1848605553
146	0.1846763088
147	0.1844591134
148	0.1842929401
149	0.1841303792
150	0.183931357
151	0.1837581518
152	0.1836405008
153	0.1835331657
154	0.1833444114
155	0.1832135627
156	0.1831379123
157	0.1829865185
158	0.1827613982
159	0.1826229388
160	0.1823973989
161	0.1822426952
162	0.1820567777
163	0.1819469521
164	0.1818004216
165	0.1816523971
166	0.1815056108
167	0.1813785338
168	0.1812259838
169	0.1810916333
170	0.1810030116
171	0.1808587817
172	0.1807518373
173	0.1806204175
174	0.1804822577
175	0.1803296978
176	0.1801766583
177	0.180000271
178	0.1798861747
179	0.1797285158
180	0.1795403585
181	0.1794029447
182	0.1792343102
183	0.179069538
184	0.1789171866
185	0.1788089791
186	0.1785206097
187	0.1784278023
188	0.1782351608
189	0.1781312946
190	0.1779949458
191	0.1778743835
192	0.1777805414
193	0.1776468363
194	0.1775105651
195	0.177321376
196	0.1772032657
197	0.1770630697
198	0.1769504185
199	0.1767740732
