iter	Passed	Remaining
0	147	29394
1	157	15621
2	165	10881
3	172	8461
4	179	6987
5	185	5994
6	191	5286
7	198	4755
8	204	4342
9	210	4008
10	217	3741
11	224	3513
12	231	3324
13	237	3158
14	244	3009
15	250	2879
16	256	2762
17	263	2661
18	269	2567
19	276	2484
20	283	2412
21	289	2341
22	295	2276
23	301	2209
24	307	2155
25	314	2103
26	320	2054
27	327	2009
28	333	1964
29	340	1931
30	347	1893
31	354	1863
32	361	1831
33	368	1799
34	374	1767
35	381	1736
36	388	1712
37	395	1684
38	402	1659
39	408	1633
40	414	1606
41	420	1582
42	426	1558
43	433	1536
44	439	1514
45	446	1493
46	452	1474
47	459	1455
48	465	1435
49	471	1415
50	478	1398
51	484	1380
52	491	1362
53	497	1346
54	504	1329
55	510	1313
56	517	1297
57	523	1281
58	529	1266
59	536	1250
60	543	1237
61	549	1223
62	556	1209
63	562	1196
64	570	1185
65	576	1169
66	582	1156
67	589	1144
68	596	1132
69	603	1119
70	609	1106
71	615	1094
72	622	1082
73	628	1069
74	634	1057
75	640	1045
76	647	1033
77	653	1022
78	659	1010
79	666	999
80	672	987
81	678	976
82	685	966
83	692	955
84	698	945
85	705	934
86	711	923
87	717	913
88	723	902
89	730	892
90	736	882
91	743	872
92	750	863
93	756	852
94	762	842
95	768	832
96	775	823
97	781	813
98	787	803
99	794	794
100	800	785
101	806	775
102	813	765
103	819	756
104	826	747
105	832	738
106	839	729
107	846	720
108	852	711
109	859	703
110	866	694
111	873	686
112	879	677
113	886	668
114	893	660
115	900	651
116	906	643
117	913	634
118	919	625
119	926	617
120	932	608
121	938	600
122	945	591
123	952	583
124	959	575
125	966	567
126	973	559
127	980	551
128	986	543
129	993	534
130	1000	526
131	1008	519
132	1015	511
133	1021	503
134	1029	495
135	1037	488
136	1045	480
137	1053	473
138	1060	465
139	1069	458
140	1076	450
141	1085	443
142	1092	435
143	1099	427
144	1106	419
145	1117	413
146	1125	405
147	1134	398
148	1144	391
149	1151	383
150	1160	376
151	1167	368
152	1177	361
153	1185	354
154	1193	346
155	1202	339
156	1211	331
157	1219	324
158	1228	316
159	1236	309
160	1244	301
161	1253	294
162	1260	286
163	1268	278
164	1277	270
165	1284	263
166	1292	255
167	1299	247
168	1308	240
169	1316	232
170	1322	224
171	1329	216
172	1336	208
173	1343	200
174	1350	192
175	1356	184
176	1362	177
177	1369	169
178	1375	161
179	1381	153
180	1388	145
181	1394	137
182	1400	130
183	1407	122
184	1414	114
185	1420	106
186	1427	99
187	1433	91
188	1439	83
189	1446	76
190	1452	68
191	1458	60
192	1465	53
193	1471	45
194	1478	37
195	1485	30
196	1491	22
197	1498	15
198	1505	7
199	1512	0
