"annotation_id","annotator","created_at","date","emo_eval","fake_claim","id","io_type","label","lead_time","source","text","updated_at"
42,"1","2025-10-15T05:39:20.691362Z","2025-10-09T10:34:46+00:00","Позитивная","False",165,"AUTHORITY_UNDERSCORE","[{""start"":13,""end"":16,""text"":""СВО"",""labels"":[""MIL_TERM""]},{""start"":68,""end"":87,""text"":""главы государства"",""labels"":[""SOURCE""]},{""start"":148,""end"":165,""text"":""президента России"",""labels"":[""SOURCE""]}]",276.043,"tass_agency:343053","Свыше 700 ветеранов СВО участвуют в адаптивных соревнованиях. С 2026 года по поручению главы государства финалы Кубка защитников Отечества будут проводиться на приз президента России.","2025-10-15T05:44:17.282766Z"
43,"1","2025-10-15T05:39:20.692360Z","2025-10-09T10:34:07+00:00","Нейтральная","False",166,"DISCREDITATION","[{""start"":0,""end"":2,""text"":""РФ"",""labels"":[""SOURCE""]},{""start"":5,""end"":16,""text"":""Таджикистан"",""labels"":[""SOURCE""]},{""start"":31,""end"":35,""text"":""ОБСЕ"",""labels"":[""ORG""]},{""start"":115,""end"":130,""text"":""Владимира Путина"",""labels"":[""SOURCE""]},{""start"":133,""end"":148,""text"":""Эмомали Рахмона"",""labels"":[""SOURCE""]}]",60.07,"tass_agency:343053","РФ и Таджикистан призвали к реформе ОБСЕ и указали на недопустимость санкций. БДИПЧ ОБСЕ, как указывается в заявлении лидеров государств Владимира Путина и Эмомали Рахмона, должно действовать на основе правил, одобренных всеми государствами - участниками ОБСЕ, а не по своему усмотрению.","2025-10-15T05:45:22.436461Z"
44,"1","2025-10-15T05:39:20.692360Z","2025-10-09T10:27:39+00:00","Негативная","False",167,"PANIC_CREATION","[{""start"":41,""end"":45,""text"":""БПЛА"",""labels"":[""MIL_TERM""]},{""start"":113,""end"":126,""text"":""Юрий Слюсарь"",""labels"":[""SOURCE""]}]",6.924,"tass_agency:343053","В Ростовской области при отражении атаки БПЛА повреждены жилые дома и автомобили. Информация о пострадавших уточняется, сообщил губернатор региона Юрий Слюсарь.","2025-10-15T05:45:34.066743Z"
45,"1","2025-10-15T05:39:20.693355Z","2025-10-09T10:21:49+00:00","Негативная","False",168,"INTIMIDATION","[{""start"":53,""end"":56,""text"":""ПВО"",""labels"":[""MIL_TERM""]},{""start"":72,""end"":76,""text"":""БПЛА"",""labels"":[""TARGET_ENTITY""]}]",39.4,"tass_agency:343053","В Неклиновском районе Ростовской области силы ПВО отражают атаку БПЛА. Жителей района призвали покинуть открытые участки улиц, зайти в помещение и не подходить к окнам.","2025-10-15T05:46:18.159335Z"
46,"1","2025-10-15T05:39:20.693355Z","2025-10-09T10:32:06+00:00","Нейтральная","False",169,"AUTHORITY_UNDERSCORE","[{""start"":35,""end"":55,""text"":""украинских дрона"",""labels"":[""TARGET_ENTITY""]}]",15.647,"rian_ru:321154:8","В Ростовской области уничтожили три украинских дрона.","2025-10-15T05:46:37.153742Z"
47,"1","2025-10-15T05:39:20.693355Z","2025-10-09T10:17:49+00:00","Негативная","False",170,"PANIC_CREATION","[{""start"":37,""end"":52,""text"":""дрона ВСУ"",""labels"":[""MIL_TERM""]}]",7.717,"rian_ru:321154:15","В Белгородской области после атаки дрона ВСУ пострадал мужчина.","2025-10-15T05:46:52.557925Z"
48,"1","2025-10-15T05:39:20.694342Z","2025-10-09T10:16:05+00:00","Негативная","True",171,"PROVOCATION","[{""start"":23,""end"":36,""text"":""Северодонецке"",""labels"":[""LOCATION""]}]",12.434000000000001,"rian_ru:321154:17","Из массового захоронения в Северодонецке извлекли останки 13 тел.","2025-10-15T06:40:11.944667Z"
49,"1","2025-10-15T05:39:20.694342Z","2025-10-09T09:41:35+00:00","Нейтральная","False",172,"DISCREDITATION","[{""start"":0,""end"":20,""text"":""Израильские войска"",""labels"":[""SOURCE""]},{""start"":64,""end"":69,""text"":""ХАМАС"",""labels"":[""SOURCE""]}]",7.744,"rian_ru:321154:36","Израильские войска начнут отходить с позиций в Газе с пятницы, заявил ХАМАС.","2025-10-15T05:47:16.541889Z"
50,"1","2025-10-15T05:39:20.695874Z","2025-10-09T09:16:40+00:00","Нейтральная","False",173,"AUTHORITY_UNDERSCORE","[{""start"":5,""end"":8,""text"":""ПВО"",""labels"":[""MIL_TERM""]},{""start"":15,""end"":35,""text"":""украинских беспилотников"",""labels"":[""TARGET_ENTITY""]}]",8.003,"rian_ru:321154:50","Силы ПВО сбили 112 украинских беспилотников за сутки.","2025-10-15T05:47:28.413032Z"
51,"1","2025-10-15T05:39:20.696379Z","2025-10-09T09:06:57+00:00","Нейтральная","False",174,"AUTHORITY_UNDERSCORE","[{""start"":0,""end"":9,""text"":""ВС России"",""labels"":[""SOURCE""]},{""start"":71,""end"":74,""text"":""ВСУ"",""labels"":[""TARGET_ENTITY""]}]",5.227,"rian_ru:321154:60","ВС России ударили по портовым сооружениям, обеспечивающим деятельность ВСУ.","2025-10-15T05:47:43.083923Z"
