annotation_id;annotator;created_at;date;emo_eval;fake_claim;id;io_type;label;lead_time;source;text;updated_at
;;;;;;;;;;;;
1;1;15.10.2025 11:27;11.10.2025 23:56;Нейтральная;ЛОЖЬ;1;POLITICAL_RELATIONS;"[{""start"":0,""end"":9,""text"":""Зеленский"",""labels"":[""PERSON""]},{""start"":12,""end"":17,""text"":""Трамп"",""labels"":[""PERSON""]},{""start"":54,""end"":62,""text"":""Украине"",""labels"":[""GEO_LOC""]},{""start"":89,""end"":97,""text"":""Tomahawk"",""labels"":[""MIL_TERM""]}]";;BBC News | Русская служба;Зеленский и Трамп обсудили передачу Украине ракет Tomahawk Axios Президенты Украины и США Владимир Зеленский и Дональд Трамп в субботу обсудили по телефону возможность передачи Украине американских крылатых ракет Tomahawk об этом со ссылкой на анонимные источники сообщило издание Axios. Сам Зеленский днем в субботу написал, что имел с Трампом хорошую, очень продуктивную беседу, в которой они обсуждали российские удары по украинской энергетике и укрепление украинской ПВО. Крылатые ракеты Tomahawk не являются зенитными ракетами и к ПВО отношения не имеют.;15.10.2025 11:27
;;;;;;;;;;;;
2;1;15.10.2025 11:27;11.10.2025 19:10;Аналитическая;ЛОЖЬ;2;MILITARY_ANALYSIS;"[{""start"":15,""end"":22,""text"":""Patriot"",""labels"":[""MIL_TERM""]},{""start"":132,""end"":147,""text"":""Игорь Романенко"",""labels"":[""PERSON""]},{""start"":176,""end"":184,""text"":""Эспрессо"",""labels"":[""SOURCE""]},{""start"":196,""end"":205,""text"":""Искандеров"",""labels"":[""MIL_TERM""]}]";;BBC News | Русская служба;Эффективность Patriot против российских баллистических ракет упала до 6 , заявил украинский военный эксперт Бывший замначальника Генштаба ВСУ по вопросам ПВО генерал Игорь Романенко сказал в интервью Эспрессо ( что Россия модифицировала ПО Искандеров таким образом, что на конечном участке маршрута они делают маневры, которые усложняют их уничтожение . Она сообщала, что если в августе эти комплексы сбивали около 37 российских баллистических ракет, то в сентябре этот показатель составил только 6 . В последнее время Россия наносит массированные удары по украинской критической инфраструктуре, в результате которых в том числе уничтожаются электростанции.;15.10.2025 11:27
;;;;;;;;;;;;
3;1;15.10.2025 11:27;11.10.2025 18:45;Нейтральная;ЛОЖЬ;3;POLITICAL_RELATIONS;"[{""start"":0,""end"":9,""text"":""Зеленский"",""labels"":[""PERSON""]},{""start"":33,""end"":39,""text"":""Трампом"",""labels"":[""PERSON""]},{""start"":61,""end"":65,""text"":""ПВО"",""labels"":[""MIL_TERM""]}]";;BBC News | Русская служба;Зеленский сообщил, что обсудил с Трампом усиление украинской ПВО Проинформировал президента Трампа о российских ударах по нашей энергетике, написал ( президент Украины Владимир Зеленский в своих соцсетях. Обсудили возможности усилить нашу ПВО и договоренности, которые мы готовим по этому поводу . В последнее время Россия наносит массированные удары по украинской критической инфраструктуре, в результате которых в том числе уничтожаются электростанции.;15.10.2025 11:27
;;;;;;;;;;;;
4;1;15.10.2025 11:27;11.10.2025 16:51;Негативная;ИСТИНА;4;PROVOCATION;"[{""start"":2,""end"":5,""text"":""СБУ"",""labels"":[""TARGET_ENTITY""]},{""start"":25,""end"":34,""text"":""Башнефти"",""labels"":[""TARGET_ENTITY""]},{""start"":38,""end"":42,""text"":""Уфе"",""labels"":[""GEO_LOC""]},{""start"":55,""end"":83,""text"":""Украинской службы Би-би-си"",""labels"":[""SOURCE""]},{""start"":119,""end"":138,""text"":""украинские беспилотники"",""labels"":[""MIL_TERM""]},{""start"":214,""end"":218,""text"":""Уфе"",""labels"":[""GEO_LOC""]},{""start"":437,""end"":451,""text"":""Башкортостане"",""labels"":[""GEO_LOC""]}]";;BBC News | Русская служба;В СБУ заявили об ударе по НПЗ Башнефти в Уфе Источник Украинской службы Би-би-си в СБУ сообщил, что в субботу утром украинские беспилотники нанесли удар по нефтеперерабатывающему заводу Башнефть-УНПЗ , который расположен в Уфе, то есть примерно в 1400 км от границы с Украиной. По сведениям источника, после взрывов на территории предприятия туда начала прибывать пожарная техника, над самим НПЗ поднимается столб чёрного дыма . По его данным, это уже третий за последний месяц удар СБУ в Башкортостане.;15.10.2025 11:27
;;;;;;;;;;;;
5;1;15.10.2025 11:27;11.10.2025 16:41;Негативная;ЛОЖЬ;5;PANIC_CREATION;"[{""start"":15,""end"":30,""text"":""Одесской области"",""labels"":[""GEO_LOC""]},{""start"":59,""end"":66,""text"":""290 тыс"",""labels"":[""TARGET_AUDIENCE""]},{""start"":69,""end"":87,""text"":""Воздушные силы"",""labels"":[""MIL_TERM""]},{""start"":88,""end"":91,""text"":""ВСУ"",""labels"":[""TARGET_ENTITY""]},{""start"":132,""end"":136,""text"":""РФ"",""labels"":[""TARGET_ENTITY""]},{""start"":171,""end"":194,""text"":""ударных беспилотников"",""labels"":[""MIL_TERM""]},{""start"":216,""end"":219,""text"":""ПВО"",""labels"":[""MIL_TERM""]}]";;WarGonzo;После обстрела Одесской области энергетики вернули электроэнергию для 290 тыс. Воздушные силы ВСУ сообщали, что в ночь на субботу армия РФ ударила по Украине при помощи 78 ударных беспилотников разных типов, ПВО сбили или подавили 54 из них.;15.10.2025 11:27
;;;;;;;;;;;;
6;1;15.10.2025 11:27;11.10.2025 15:04;Нейтральная;ЛОЖЬ;6;AUTHORITY_UNDERSCORE;"[{""start"":0,""end"":8,""text"":""Би-би-си"",""labels"":[""SOURCE""]},{""start"":47,""end"":56,""text"":""операции"",""labels"":[""MIL_TERM""]},{""start"":159,""end"":166,""text"":""Лондоне"",""labels"":[""GEO_LOC""]},{""start"":180,""end"":192,""text"":""Хартфордшир"",""labels"":[""GEO_LOC""]}]";;BBC News | Русская служба;Би-би-си получила доступ к информации об этой операции, включая подробности о подозреваемых и их методах, а также о рейдах, проведенных на рассвете по 28 адресам в Лондоне и графстве Хартфордшир. Рассказываем ( детали этой операции.;15.10.2025 11:27
;;;;;;;;;;;;
7;1;15.10.2025 11:27;11.10.2025 12:04;Негативная;ЛОЖЬ;7;INTIMIDATION;"[{""start"":0,""end"":6,""text"":""Россия"",""labels"":[""TARGET_ENTITY""]},{""start"":40,""end"":61,""text"":""Черниговской области"",""labels"":[""GEO_LOC""]},{""start"":99,""end"":115,""text"":""Вячеслав Чаус"",""labels"":[""SOURCE""]},{""start"":168,""end"":185,""text"":""российские дроны"",""labels"":[""MIL_TERM""]},{""start"":224,""end"":243,""text"":""Черниговоблэнерго"",""labels"":[""TARGET_ENTITY""]},{""start"":290,""end"":312,""text"":""Семёновской громады"",""labels"":[""GEO_LOC""]}]";;Defense_Express;Россия ударила по машине энергетиков в Черниговской области, погибли два человека Глава Черниговской областной администрации Вячеслав Чаус сообщил ( что в пятницу вечером российские дроны ударили по служебным автомобилям компании Черниговоблэнерго . По его словам, дрон нанёс удар по машине на территории Семёновской громады (она расположена неподалеку от границы с Россией), в результате чего машина загорелась. Когда на место происшествия прибыли другие сотрудники энергокомпании и пожарные, произошёл повторный удар, который пришёлся по второму автомобилю, пишет Чаус.;15.10.2025 11:27
;;;;;;;;;;;;
8;1;15.10.2025 11:27;10.10.2025 23:47;Негативная;ЛОЖЬ;8;INTIMIDATION;"[{""start"":2,""end"":33,""text"":""американском штате Теннесси"",""labels"":[""GEO_LOC""]},{""start"":42,""end"":56,""text"":""мощный взрыв"",""labels"":[""EVENT""]},{""start"":60,""end"":77,""text"":""заводе взрывчатки"",""labels"":[""TARGET_ENTITY""]}]";;BBC News | Русская служба;В американском штате Теннесси произошёл мощный взрыв на заводе взрывчатки.;15.10.2025 11:27
;;;;;;;;;;;;
