annotation_id;annotator;created_at;date;emo_eval;fake_claim;id;io_type;label;lead_time;source;text;updated_at
;;;;;;;;;;;;
42;1;15.10.2025 10:39;09.10.2025 15:34;Позитивная;ЛОЖЬ;165;AUTHORITY_UNDERSCORE;"[{""start"":13,""end"":16,""text"":""СВО"",""labels"":[""MIL_TERM""]},{""start"":68,""end"":87,""text"":""главы государства"",""labels"":[""SOURCE""]},{""start"":148,""end"":165,""text"":""президента России"",""labels"":[""SOURCE""]}]";276.043;tass_agency:343053;Свыше 700 ветеранов СВО участвуют в адаптивных соревнованиях. С 2026 года по поручению главы государства финалы Кубка защитников Отечества будут проводиться на приз президента России.;15.10.2025 10:44
;;;;;;;;;;;;
43;1;15.10.2025 10:39;09.10.2025 15:34;Нейтральная;ЛОЖЬ;166;DISCREDITATION;"[{""start"":0,""end"":2,""text"":""РФ"",""labels"":[""SOURCE""]},{""start"":5,""end"":16,""text"":""Таджикистан"",""labels"":[""SOURCE""]},{""start"":31,""end"":35,""text"":""ОБСЕ"",""labels"":[""ORG""]},{""start"":115,""end"":130,""text"":""Владимира Путина"",""labels"":[""SOURCE""]},{""start"":133,""end"":148,""text"":""Эмомали Рахмона"",""labels"":[""SOURCE""]}]";60.07;tass_agency:343053;РФ и Таджикистан призвали к реформе ОБСЕ и указали на недопустимость санкций. БДИПЧ ОБСЕ, как указывается в заявлении лидеров государств Владимира Путина и Эмомали Рахмона, должно действовать на основе правил, одобренных всеми государствами - участниками ОБСЕ, а не по своему усмотрению.;15.10.2025 10:45
;;;;;;;;;;;;
44;1;15.10.2025 10:39;09.10.2025 15:27;Негативная;ЛОЖЬ;167;PANIC_CREATION;"[{""start"":41,""end"":45,""text"":""БПЛА"",""labels"":[""MIL_TERM""]},{""start"":113,""end"":126,""text"":""Юрий Слюсарь"",""labels"":[""SOURCE""]}]";6.924;tass_agency:343053;В Ростовской области при отражении атаки БПЛА повреждены жилые дома и автомобили. Информация о пострадавших уточняется, сообщил губернатор региона Юрий Слюсарь.;15.10.2025 10:45
;;;;;;;;;;;;
45;1;15.10.2025 10:39;09.10.2025 15:21;Негативная;ЛОЖЬ;168;INTIMIDATION;"[{""start"":53,""end"":56,""text"":""ПВО"",""labels"":[""MIL_TERM""]},{""start"":72,""end"":76,""text"":""БПЛА"",""labels"":[""TARGET_ENTITY""]}]";39.4;tass_agency:343053;В Неклиновском районе Ростовской области силы ПВО отражают атаку БПЛА. Жителей района призвали покинуть открытые участки улиц, зайти в помещение и не подходить к окнам.;15.10.2025 10:46
;;;;;;;;;;;;
46;1;15.10.2025 10:39;09.10.2025 15:32;Нейтральная;ЛОЖЬ;169;AUTHORITY_UNDERSCORE;"[{""start"":35,""end"":55,""text"":""украинских дрона"",""labels"":[""TARGET_ENTITY""]}]";15.647;rian_ru:321154:8;В Ростовской области уничтожили три украинских дрона.;15.10.2025 10:46
;;;;;;;;;;;;
